TrialId,Scenario,"001 The price I paid was… (1 = Extremely Unfair, 7 = Extremely Fair)","002 The price I paid was… (1 = Extremely Unacceptable, 7 = Extremely Acceptable)","003 The price I paid was… (1 = Extremely Unreasonable, 7 = Extremely Reasonable)","004 How likely would you be to buy something from this online shop? (1 = Very Unlikely, 7 = Very Likely)","005 How likely would you be to shop at this online shop in the future? (1 = Very Unlikely, 7 = Very Likely)","006 How likely would you be to return to this online shop? (1 = Very Unlikely, 7 = Very Likely)","007 Before making a purchase decision in the future, I would visit other sites to check their prices. (1 = Very Unlikely, 7 = Very Likely)","008 Before making a purchase decision in the future, I would search for more information about the prices of alternatives. (1 = Very Unlikely, 7 = Very Likely)","009 Before making a purchase decision in the future, I would visit other retailers for a lower price. (1 = Very Unlikely, 7 = Very Likely)","010 To me buying a new smartphone is… (1 = Unimportant, 7 = Important)","011 To me buying a new smartphone is… (1 = Boring, 7 = Interesting)","012 To me buying a new smartphone is… (1 = Irrelevant, 7 = Relevant)","013 To me buying a new smartphone is… (1 = Unexciting, 7 = Exciting)","014 To me buying a new smartphone is… (1 = Unappealing, 7 = Appealing)","015 To me buying a new smartphone is… (1 = Mundane, 7 = Fascinating)","016 To me buying a new smartphone is… (1 = Worthless, 7 = Valuable)",017 What is your average daily Internet usage in hours? Choose one of the answers below. a)Less than an hour b)1–2 h c)2–4 h d)4–6 h e)More than 6 h,018 How many times did you purchase products online in the last 12 months? Choose one of the answers below. a)Never b)Once or twice c)3–6 times d)Monthly e)Bi-Weekly (only in Study 2) f)Weekly,"019 What amount did you spend online in the last 12 months? Choose one of the answers below. a)0$ b)1–50$ c)51–100$ d)101–200$ e)201–500$ f)501–1,000$ g)Over 1,000$",020 Which social networks do you use on a regular basis (at least once a week)? Choose one or multiple answers below. a)Facebook b)Instagram c)Twitter d)Snapchat e)LinkedIn f)None of these,021 What is the price you paid for your new smartphone? Choose one of the answers below. a)$80 b)$100 c)$120,"022 The scenario presented is easy to understand. (1 = Strongly Disagree, 7 = Strongly Agree)","023 The scenario presented seems realistic to me, regardless of the prices stated. (1 = Strongly Disagree, 7 = Strongly Agree)",024 Please choose your gender. a)Male b)Female,025 Please enter your age.,026 Education. Please choose one. a)Some school but no degree  b)High school graduate  c)Some college but no degree  d)Bachelor’s degree e)Master’s degree f)Professional degree  g)Doctorate  h)Other,027 Employment status. Please choose one. a)Employed full-time  b)Employed part-time  c)Self-employed  d)Homemaker  e)Student  f)Retired  g)Unemployed  h)Other,"028 Annual gross household income. Please choose one. a)Less than $20,000  b)$20,000 to $34,999  c)$35,000 to $49,999  d)$50,000 to $74,999  e)$75,000 to $99,999  f)$100,000 or more"
9,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
10,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
11,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
12,Same Price,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
13,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
14,Same Price,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
15,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
16,Same Price,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
17,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
18,Same Price,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
19,Disadvantaged Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
20,Disadvantaged Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
21,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
22,Disadvantaged Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
23,Same Price,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
24,Disadvantaged Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
25,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
26,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
27,Disadvantaged Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
28,Disadvantaged Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
29,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
30,Same Price,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
31,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
32,Same Price,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
33,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
34,Disadvantaged Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
35,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
36,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
37,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
38,Same Price,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
39,Disadvantaged Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
40,Disadvantaged Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
41,Disadvantaged Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
42,Favored Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
43,Same Price,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
44,Disadvantaged Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
45,Disadvantaged Customer,[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN],[DRY RUN]
